"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"004603";"0152";"84745,605";
"500";"004604";"0152";"25413,413";
"500";"004605";"0152";"84745,605";
"500";"004606";"0154";"7765,02";
"500";"004607";"0154";"27573,57";
"500";"004608";"0154";"63534,828";
"500";"004609";"0154";"121971,612";
"500";"004610";"0163";"49642,95";
"500";"004611";"0185";"9559,4985";
"500";"004612";"0185";"9559,4985";
"500";"004626";"0192";"279276,2355";
"500";"004629";"0163";"180147,009";
"500";"004630";"0150";"8698,932";
"500";"004631";"0150";"13932,622";
"500";"004632";"0150";"47339,556";
"500";"004633";"0150";"199130,4605";
"500";"004641";"0136";"13,407";
"500";"004642";"0136";"19641,255";
"500";"004643";"0136";"19641,255";
"500";"004644";"0136";"25017,0725";
"500";"004645";"0136";"17,0765";
"500";"004646";"0136";"25017,0725";
"500";"004649";"0152";"104853,105";
"500";"004689";"0139";"321559,515";
"500";"004692";"0130";"49587,5115";
"500";"004705";"0152";"32875,584";
"500";"004706";"0152";"62178,48";
"500";"004708";"0175";"10766,898";
"500";"004709";"0175";"39119,136";
"500";"004710";"0175";"79787,876";
"500";"004711";"0175";"151115,4805";
"500";"004712";"0175";"9045,693";
"500";"004713";"0175";"32860,629";
"500";"004714";"0175";"67008,4695";
"500";"004715";"0175";"126942,2565";
"500";"004716";"0175";"7750,08";
"500";"004717";"0175";"28160,073";
"500";"004718";"0175";"57446,452";
"500";"004719";"0175";"108819,0465";
"500";"004720";"0175";"11363,38";
"500";"004721";"0175";"41323,916";
"500";"004722";"0175";"84311,9275";
"500";"004723";"0175";"159654,1195";
"500";"004724";"0175";"9783,096";
"500";"004725";"0175";"35526,444";
"500";"004726";"0175";"72508,8145";
"500";"004727";"0175";"137306,0305";
"500";"004728";"0175";"8525,065";
"500";"004729";"0175";"30998,917";
"500";"004730";"0175";"63233,8005";
"500";"004731";"0175";"119736,4025";
"500";"004732";"0175";"7739,914";
"500";"004733";"0175";"28681,138";
"500";"004734";"0175";"66412,167";
