"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"000145";"ENTONADOR UNIVERSAL TONALBA 002 BERMELLON X 0,120";"000120";"0107";"503";
"000146";"ENTONADOR UNIVERSAL TONALBA 003 OCRE X 0,120";"000120";"0107";"503";
"000147";"ENTONADOR UNIVERSAL TONALBA 004 VERDE CLARO X 0,120";"000120";"0107";"503";
"000148";"ENTONADOR UNIVERSAL TONALBA 005 VERDE OSCURO X 0,120";"000120";"0107";"503";
"000149";"ENTONADOR UNIVERSAL TONALBA 006 AZUL X 0,120";"000120";"0107";"503";
"000150";"ENTONADOR UNIVERSAL TONALBA 007 CEDRO X 0,120";"000120";"0107";"503";
"000151";"ENTONADOR UNIVERSAL TONALBA 008 SIENA X 0,120";"000120";"0107";"503";
"000152";"ENTONADOR UNIVERSAL TONALBA 009 NEGRO X 0,120";"000120";"0107";"503";
"000153";"ENTONADOR UNIVERSAL TONALBA 010 NARANJA X 0,120";"000120";"0107";"503";
"000154";"ENTONADOR UNIVERSAL TONALBA 011 VIOLETA X 0,120";"000120";"0107";"503";
"000155";"EXTENSOR TELESCOPICO 1 (0,70-1,20)";"001000";"0147";"503";
"000156";"DILUYENTE DIELECTRICO DIXILINA X 18";"018000";"0120";"503";
"000157";"DILUYENTE DIELECTRICO DIXILINA X 200";"200000";"0120";"503";
"000158";"ESMALTE SINTETICO SATINOL SATINADO BLANCO X  1";"001001";"0107";"503";
"000159";"ESMALTE SINTETICO SATINOL SATINADO BLANCO X  4";"004000";"0107";"503";
"000160";"ESMALTE SINTETICO SATINOL SATINADO NEGRO X  0,500";"000500";"0107";"503";
"000161";"ESMALTE SINTETICO SATINOL SATINADO NEGRO X  1";"001001";"0107";"503";
"000162";"ESMALTE SINTETICO SATINOL SATINADO NEGRO X  4";"004000";"0107";"503";
"000163";"AEROSOL RUST-OLEUM PARA PARACHOQUES NEGRO MATE X 0,340 (251574/313551)";"000340";"0145";"503";
"000164";"PINTURA PARA PILETA ALBA AL AGUA MATE CELESTE X 10";"010000";"0107";"503";
"000165";"LATEX INTERIOR ALBALATEX MATE BLANCO X 10";"010000";"0107";"503";
"000166";"BARNIZ PARA MADERA INTERIOR CRISTALBA SATINADO NATURAL X 0,500";"000500";"0902";"503";
"000167";"BARNIZ PARA MADERA INTERIOR CRISTALBA PU SATINADO NATURAL X 1";"001001";"0107";"503";
"000168";"BARNIZ PARA MADERA INTERIOR CRISTALBA PU SATINADO NATURAL X 4";"004000";"0107";"503";
"000169";"ESMALTE SINTETICO ALBALUX BRILLANTE BLANCO X  0,250";"000250";"0107";"503";
"000170";"ESMALTE SINTETICO ALBALUX BRILLANTE BLANCO X  0,500";"000500";"0107";"503";
"000171";"ESMALTE SINTETICO ALBALUX BRILLANTE BLANCO X  1";"001001";"0107";"503";
"000172";"ESMALTE SINTETICO ALBALUX BRILLANTE BLANCO X  4";"004000";"0107";"503";
"000173";"ESMALTE SINTETICO ALBALUX BRILLANTE BLANCO X 20";"020000";"0107";"503";
"000174";"AEROSOL RUST-OLEUM TERMINACION MATE NEGRO X 0,340 (263422)";"000340";"0145";"503";
"000175";"MART.HAMMERITE VERDE OSC.X 2,400";"002400";"0902";"503";
"000176";"LATEX INTERIOR ALBA ANTIHONGO BANO/COCINA BLANCO X 1";"001001";"0107";"503";
"000177";"LATEX INTERIOR ALBA ANTIHONGO BANO/COCINA BLANCO X 4";"004000";"0107";"503";
"000178";"FIJADOR PARA PARED ALBA AL AGUARRAS X  1";"001001";"0107";"503";
"000179";"FIJADOR PARA PARED ALBA AL AGUARRAS X  4";"004000";"0107";"503";
"000180";"ENDUIDO INTERIOR ALBAPLAST X  1";"001001";"0107";"503";
"000181";"ENDUIDO INTERIOR ALBAPLAST X  4";"004000";"0107";"503";
"000182";"ENDUIDO EXTERIOR ALBA X  1";"001001";"0107";"503";
"000183";"ENDUIDO EXTERIOR ALBA X  4";"004000";"0107";"503";
